PART_NM_EN,Age,duration_censoring(day),Survial,Failure
AIR CYLINDER,NEW,0.000,1.0000,0.0000
AIR CYLINDER,NEW,7.000,1.0000,0.0000
AIR CYLINDER,NEW,21.000,1.0000,0.0000
AIR CYLINDER,NEW,195.000,1.0000,0.0000
AIR CYLINDER,NEW,420.000,1.0000,0.0000
AIR CYLINDER,NEW,424.000,0.9946,0.0054
AIR CYLINDER,NEW,534.000,0.9946,0.0054
AIR CYLINDER,NEW,712.000,0.9880,0.0120
AIR CYLINDER,NEW,881.000,0.9814,0.0186
AIR CYLINDER,NEW,889.000,0.9749,0.0251
AIR CYLINDER,NEW,895.000,0.9683,0.0317
AIR CYLINDER,NEW,900.000,0.9683,0.0317
AIR CYLINDER,NEW,974.000,0.9683,0.0317
AIR CYLINDER,OLD,0.000,1.0000,0.0000
AIR CYLINDER,OLD,3.000,0.9979,0.0021
AIR CYLINDER,OLD,8.000,0.9937,0.0063
AIR CYLINDER,OLD,10.000,0.9916,0.0084
AIR CYLINDER,OLD,20.000,0.9895,0.0105
AIR CYLINDER,OLD,24.000,0.9873,0.0127
AIR CYLINDER,OLD,27.000,0.9852,0.0148
AIR CYLINDER,OLD,55.000,0.9831,0.0169
AIR CYLINDER,OLD,68.000,0.9810,0.0190
AIR CYLINDER,OLD,69.000,0.9789,0.0211
AIR CYLINDER,OLD,75.000,0.9768,0.0232
AIR CYLINDER,OLD,78.000,0.9747,0.0253
AIR CYLINDER,OLD,81.000,0.9726,0.0274
AIR CYLINDER,OLD,91.000,0.9705,0.0295
AIR CYLINDER,OLD,94.000,0.9684,0.0316
AIR CYLINDER,OLD,102.000,0.9662,0.0338
AIR CYLINDER,OLD,104.000,0.9641,0.0359
AIR CYLINDER,OLD,109.000,0.9620,0.0380
AIR CYLINDER,OLD,115.000,0.9599,0.0401
AIR CYLINDER,OLD,128.000,0.9557,0.0443
AIR CYLINDER,OLD,131.000,0.9536,0.0464
AIR CYLINDER,OLD,136.000,0.9515,0.0485
AIR CYLINDER,OLD,141.000,0.9494,0.0506
AIR CYLINDER,OLD,143.000,0.9473,0.0527
AIR CYLINDER,OLD,145.000,0.9430,0.0570
AIR CYLINDER,OLD,149.000,0.9409,0.0591
AIR CYLINDER,OLD,157.000,0.9388,0.0612
AIR CYLINDER,OLD,159.000,0.9346,0.0654
AIR CYLINDER,OLD,162.000,0.9325,0.0675
AIR CYLINDER,OLD,165.000,0.9304,0.0696
AIR CYLINDER,OLD,170.000,0.9262,0.0738
AIR CYLINDER,OLD,188.000,0.9241,0.0759
AIR CYLINDER,OLD,192.000,0.9219,0.0781
AIR CYLINDER,OLD,195.000,0.9177,0.0823
AIR CYLINDER,OLD,197.000,0.9156,0.0844
AIR CYLINDER,OLD,200.000,0.9135,0.0865
AIR CYLINDER,OLD,204.000,0.9114,0.0886
AIR CYLINDER,OLD,208.000,0.9093,0.0907
AIR CYLINDER,OLD,209.000,0.9051,0.0949
AIR CYLINDER,OLD,212.000,0.9030,0.0970
AIR CYLINDER,OLD,213.000,0.9008,0.0992
AIR CYLINDER,OLD,215.000,0.8966,0.1034
AIR CYLINDER,OLD,216.000,0.8945,0.1055
AIR CYLINDER,OLD,217.000,0.8924,0.1076
AIR CYLINDER,OLD,220.000,0.8903,0.1097
AIR CYLINDER,OLD,221.000,0.8882,0.1118
AIR CYLINDER,OLD,222.000,0.8861,0.1139
AIR CYLINDER,OLD,229.000,0.8840,0.1160
AIR CYLINDER,OLD,233.000,0.8819,0.1181
AIR CYLINDER,OLD,242.000,0.8797,0.1203
AIR CYLINDER,OLD,248.000,0.8776,0.1224
AIR CYLINDER,OLD,271.000,0.8755,0.1245
AIR CYLINDER,OLD,276.000,0.8734,0.1266
AIR CYLINDER,OLD,281.000,0.8713,0.1287
AIR CYLINDER,OLD,285.000,0.8692,0.1308
AIR CYLINDER,OLD,300.000,0.8671,0.1329
AIR CYLINDER,OLD,305.000,0.8650,0.1350
AIR CYLINDER,OLD,306.000,0.8629,0.1371
AIR CYLINDER,OLD,308.000,0.8608,0.1392
AIR CYLINDER,OLD,317.000,0.8586,0.1414
AIR CYLINDER,OLD,327.000,0.8565,0.1435
AIR CYLINDER,OLD,368.000,0.8544,0.1456
AIR CYLINDER,OLD,371.000,0.8523,0.1477
AIR CYLINDER,OLD,381.000,0.8481,0.1519
AIR CYLINDER,OLD,398.000,0.8460,0.1540
AIR CYLINDER,OLD,399.000,0.8439,0.1561
AIR CYLINDER,OLD,400.000,0.8397,0.1603
AIR CYLINDER,OLD,409.000,0.8376,0.1624
AIR CYLINDER,OLD,416.000,0.8354,0.1646
AIR CYLINDER,OLD,434.000,0.8333,0.1667
AIR CYLINDER,OLD,437.000,0.8291,0.1709
AIR CYLINDER,OLD,439.000,0.8270,0.1730
AIR CYLINDER,OLD,440.000,0.8228,0.1772
AIR CYLINDER,OLD,446.000,0.8207,0.1793
AIR CYLINDER,OLD,451.000,0.8186,0.1814
AIR CYLINDER,OLD,455.000,0.8165,0.1835
AIR CYLINDER,OLD,457.000,0.8143,0.1857
AIR CYLINDER,OLD,467.000,0.8122,0.1878
AIR CYLINDER,OLD,469.000,0.8101,0.1899
AIR CYLINDER,OLD,471.000,0.8080,0.1920
AIR CYLINDER,OLD,472.000,0.8059,0.1941
AIR CYLINDER,OLD,480.000,0.8017,0.1983
AIR CYLINDER,OLD,498.000,0.7996,0.2004
AIR CYLINDER,OLD,507.000,0.7975,0.2025
AIR CYLINDER,OLD,517.000,0.7954,0.2046
AIR CYLINDER,OLD,521.000,0.7932,0.2068
AIR CYLINDER,OLD,523.000,0.7911,0.2089
AIR CYLINDER,OLD,539.000,0.7890,0.2110
AIR CYLINDER,OLD,540.000,0.7869,0.2131
AIR CYLINDER,OLD,544.000,0.7848,0.2152
AIR CYLINDER,OLD,548.000,0.7827,0.2173
AIR CYLINDER,OLD,551.000,0.7806,0.2194
AIR CYLINDER,OLD,560.000,0.7785,0.2215
AIR CYLINDER,OLD,562.000,0.7764,0.2236
AIR CYLINDER,OLD,564.000,0.7743,0.2257
AIR CYLINDER,OLD,569.000,0.7722,0.2278
AIR CYLINDER,OLD,571.000,0.7700,0.2300
AIR CYLINDER,OLD,575.000,0.7679,0.2321
AIR CYLINDER,OLD,576.000,0.7658,0.2342
AIR CYLINDER,OLD,581.000,0.7616,0.2384
AIR CYLINDER,OLD,583.000,0.7595,0.2405
AIR CYLINDER,OLD,587.000,0.7532,0.2468
AIR CYLINDER,OLD,595.000,0.7447,0.2553
AIR CYLINDER,OLD,601.000,0.7426,0.2574
AIR CYLINDER,OLD,602.000,0.7384,0.2616
AIR CYLINDER,OLD,603.000,0.7342,0.2658
AIR CYLINDER,OLD,605.000,0.7321,0.2679
AIR CYLINDER,OLD,607.000,0.7300,0.2700
AIR CYLINDER,OLD,608.000,0.7257,0.2743
AIR CYLINDER,OLD,611.000,0.7215,0.2785
AIR CYLINDER,OLD,612.000,0.7194,0.2806
AIR CYLINDER,OLD,614.000,0.7173,0.2827
AIR CYLINDER,OLD,617.000,0.7152,0.2848
AIR CYLINDER,OLD,620.000,0.7110,0.2890
AIR CYLINDER,OLD,621.000,0.7089,0.2911
AIR CYLINDER,OLD,622.000,0.7068,0.2932
AIR CYLINDER,OLD,623.000,0.7004,0.2996
AIR CYLINDER,OLD,629.000,0.6983,0.3017
AIR CYLINDER,OLD,638.000,0.6962,0.3038
AIR CYLINDER,OLD,639.000,0.6941,0.3059
AIR CYLINDER,OLD,645.000,0.6920,0.3080
AIR CYLINDER,OLD,646.000,0.6899,0.3101
AIR CYLINDER,OLD,651.000,0.6878,0.3122
AIR CYLINDER,OLD,653.000,0.6857,0.3143
AIR CYLINDER,OLD,656.000,0.6814,0.3186
AIR CYLINDER,OLD,660.000,0.6793,0.3207
AIR CYLINDER,OLD,663.000,0.6772,0.3228
